,Sex,Marital status,Age,Education,Income,Occupation,Settlement size,Cluster
34,Female,Married,33,High School,155569,management / self-employed / highly qualified employee / officer,Mid-sized city,0
35,Male,Single,25,other/unknown,104505,Unemployed/Unskilled,Small City,3
36,Male,Single,31,other/unknown,143385,Skilled Employee/Official,Big city,1
37,Male,Single,37,High School,127676,Skilled Employee/Official,Mid-sized city,1
38,Male,Single,37,High School,119276,Skilled Employee/Official,Mid-sized city,1
39,Male,Single,24,other/unknown,92542,Skilled Employee/Official,Mid-sized city,1
40,Male,Single,30,other/unknown,163329,management / self-employed / highly qualified employee / officer,Mid-sized city,1
41,Male,Married,26,High School,130921,Skilled Employee/Official,Small City,0
42,Male,Single,44,High School,133658,Unemployed/Unskilled,Small City,3
43,Male,Married,24,High School,155104,Skilled Employee/Official,Mid-sized city,0
44,Female,Married,58,University,142335,Unemployed/Unskilled,Mid-sized city,2
45,Female,Married,35,High School,138387,management / self-employed / highly qualified employee / officer,Mid-sized city,0
46,Male,Single,39,High School,140182,Skilled Employee/Official,Small City,1
47,Female,Married,23,High School,65421,Unemployed/Unskilled,Small City,3
48,Male,Single,39,High School,130500,Unemployed/Unskilled,Small City,3
49,Female,Married,28,High School,122831,Skilled Employee/Official,Small City,0
50,Male,Single,29,other/unknown,84531,Unemployed/Unskilled,Small City,3
51,Male,Single,30,other/unknown,180196,management / self-employed / highly qualified employee / officer,Big city,1
52,Male,Single,25,other/unknown,92058,Skilled Employee/Official,Big city,1
53,Male,Single,31,other/unknown,117158,Skilled Employee/Official,Small City,1
54,Male,Single,57,University,135830,Skilled Employee/Official,Mid-sized city,2
55,Male,Single,26,other/unknown,58258,Unemployed/Unskilled,Small City,3
57,Female,Married,31,High School,183657,Skilled Employee/Official,Mid-sized city,0
58,Female,Married,23,High School,152267,management / self-employed / highly qualified employee / officer,Mid-sized city,0
59,Female,Married,23,High School,115240,Unemployed/Unskilled,Small City,3
60,Male,Married,27,High School,106955,Skilled Employee/Official,Big city,0
61,Male,Single,50,High School,123641,Skilled Employee/Official,Mid-sized city,1
62,Male,Single,61,University,166410,management / self-employed / highly qualified employee / officer,Mid-sized city,2
64,Female,Married,26,High School,118372,Skilled Employee/Official,Mid-sized city,0
65,Male,Single,48,High School,148115,Skilled Employee/Official,Mid-sized city,1
66,Female,Married,29,High School,111069,Skilled Employee/Official,Small City,0
67,Male,Married,22,High School,139780,Skilled Employee/Official,Small City,0
68,Male,Single,37,High School,106978,Skilled Employee/Official,Big city,1
69,Female,Married,25,High School,110019,Skilled Employee/Official,Big city,0
70,Female,Married,30,High School,169102,Skilled Employee/Official,Mid-sized city,0
71,Male,Single,46,High School,73703,Unemployed/Unskilled,Small City,3
72,Male,Single,51,High School,141858,management / self-employed / highly qualified employee / officer,Big city,1
73,Female,Married,41,University,135959,Unemployed/Unskilled,Small City,2
74,Male,Single,40,High School,140888,management / self-employed / highly qualified employee / officer,Big city,1
76,Male,Single,34,High School,125187,Skilled Employee/Official,Mid-sized city,1
77,Male,Single,51,High School,155486,Skilled Employee/Official,Big city,1
78,Male,Single,39,High School,151697,Unemployed/Unskilled,Small City,1
79,Male,Married,22,High School,126400,Skilled Employee/Official,Mid-sized city,0
80,Female,Married,44,University,159246,Skilled Employee/Official,Big city,2
81,Male,Single,47,High School,136138,Skilled Employee/Official,Mid-sized city,1
82,Female,Married,24,High School,84792,Unemployed/Unskilled,Small City,3
83,Female,Married,58,University,100210,Unemployed/Unskilled,Small City,2
84,Male,Single,52,High School,93706,Unemployed/Unskilled,Small City,3
85,Female,Married,29,High School,133783,management / self-employed / highly qualified employee / officer,Mid-sized city,0
86,Female,Married,27,High School,110064,Skilled Employee/Official,Big city,0
88,Male,Single,30,other/unknown,149022,management / self-employed / highly qualified employee / officer,Big city,1
89,Male,Single,28,other/unknown,92973,Skilled Employee/Official,Big city,1
90,Male,Single,56,High School,110605,Skilled Employee/Official,Mid-sized city,1
91,Male,Single,54,High School,116604,Skilled Employee/Official,Mid-sized city,1
92,Female,Married,33,High School,71070,Unemployed/Unskilled,Small City,3
93,Male,Single,20,other/unknown,128678,Skilled Employee/Official,Mid-sized city,1
94,Male,Single,54,High School,165230,Skilled Employee/Official,Big city,1
96,Female,Married,61,University,135070,Skilled Employee/Official,Mid-sized city,2
97,Male,Single,34,High School,134794,Skilled Employee/Official,Big city,1
98,Male,Single,36,High School,120153,Skilled Employee/Official,Mid-sized city,1
99,Male,Single,36,High School,195465,management / self-employed / highly qualified employee / officer,Big city,1
100,Male,Married,41,High School,93372,Unemployed/Unskilled,Small City,3
101,Male,Single,24,other/unknown,110446,Skilled Employee/Official,Small City,1
102,Female,Married,24,High School,95186,Skilled Employee/Official,Mid-sized city,0
103,Male,Single,35,High School,115343,Skilled Employee/Official,Mid-sized city,1
104,Male,Married,26,High School,107276,Skilled Employee/Official,Mid-sized city,0
106,Male,Single,39,High School,183108,management / self-employed / highly qualified employee / officer,Big city,1
107,Male,Single,32,other/unknown,152876,Skilled Employee/Official,Big city,1
108,Female,Married,30,High School,165147,Skilled Employee/Official,Small City,0
109,Male,Married,35,High School,140520,Skilled Employee/Official,Small City,0
110,Male,Married,31,High School,124203,Skilled Employee/Official,Mid-sized city,0
111,Female,Married,23,High School,107205,Skilled Employee/Official,Mid-sized city,0
112,Male,Single,28,other/unknown,121432,Unemployed/Unskilled,Big city,1
113,Female,Married,25,High School,162445,Skilled Employee/Official,Small City,0
114,Male,Married,35,High School,134112,Skilled Employee/Official,Mid-sized city,0
115,Male,Single,47,High School,131842,Skilled Employee/Official,Mid-sized city,1
116,Female,Married,30,High School,189896,management / self-employed / highly qualified employee / officer,Small City,0
117,Female,Married,27,High School,109099,Skilled Employee/Official,Big city,0
118,Female,Married,23,High School,153539,Skilled Employee/Official,Mid-sized city,0
119,Male,Married,36,High School,180495,management / self-employed / highly qualified employee / officer,Mid-sized city,1
120,Female,Married,25,High School,104653,Skilled Employee/Official,Big city,0
121,Female,Married,41,University,166933,management / self-employed / highly qualified employee / officer,Big city,2
122,Male,Single,24,other/unknown,66118,Unemployed/Unskilled,Small City,3
123,Male,Single,63,University,135754,Skilled Employee/Official,Small City,2
124,Female,Married,27,High School,116103,Skilled Employee/Official,Big city,0
125,Male,Single,30,other/unknown,104293,Skilled Employee/Official,Mid-sized city,1
126,Male,Married,40,High School,71702,Unemployed/Unskilled,Small City,3
127,Male,Single,30,other/unknown,99066,Skilled Employee/Official,Big city,1
128,Male,Single,34,High School,143979,management / self-employed / highly qualified employee / officer,Big city,1
129,Female,Married,29,High School,123818,Skilled Employee/Official,Small City,0
130,Female,Married,24,High School,176714,Skilled Employee/Official,Big city,0
131,Male,Single,29,other/unknown,149249,Skilled Employee/Official,Big city,1
132,Male,Single,27,other/unknown,77535,Unemployed/Unskilled,Small City,3
133,Male,Single,47,High School,116540,Skilled Employee/Official,Mid-sized city,1
134,Female,Married,21,High School,194728,Skilled Employee/Official,Small City,0
135,Female,Married,38,High School,109311,Skilled Employee/Official,Big city,0
138,Male,Single,35,High School,123109,Skilled Employee/Official,Mid-sized city,1
139,Female,Married,44,University,108251,Unemployed/Unskilled,Small City,2
140,Male,Married,27,High School,89908,Unemployed/Unskilled,Small City,3
141,Female,Married,30,High School,176057,management / self-employed / highly qualified employee / officer,Mid-sized city,0
142,Male,Single,27,other/unknown,144332,management / self-employed / highly qualified employee / officer,Big city,1
143,Male,Single,22,other/unknown,101185,Skilled Employee/Official,Mid-sized city,1
144,Female,Married,23,High School,107406,Skilled Employee/Official,Big city,0
145,Male,Single,30,other/unknown,140665,Skilled Employee/Official,Mid-sized city,1
146,Female,Married,39,University,106461,Skilled Employee/Official,Small City,2
147,Female,Married,51,University,127825,Skilled Employee/Official,Small City,2
148,Male,Single,28,other/unknown,133898,Skilled Employee/Official,Mid-sized city,1
149,Male,Single,46,High School,152383,Skilled Employee/Official,Big city,1
150,Male,Single,42,High School,119926,Skilled Employee/Official,Small City,1
151,Male,Single,38,High School,108784,Skilled Employee/Official,Big city,1
152,Male,Single,24,other/unknown,153286,Skilled Employee/Official,Mid-sized city,1
155,Female,Married,20,High School,95355,Skilled Employee/Official,Mid-sized city,0
156,Male,Single,48,High School,124156,Skilled Employee/Official,Mid-sized city,1
157,Male,Married,45,University,72215,Unemployed/Unskilled,Small City,2
158,Male,Single,38,High School,146529,Skilled Employee/Official,Big city,1
159,Male,Single,34,High School,75343,Unemployed/Unskilled,Small City,3
160,Male,Single,36,High School,129789,Skilled Employee/Official,Mid-sized city,1
161,Female,Married,30,High School,101153,Skilled Employee/Official,Mid-sized city,0
162,Male,Single,36,High School,127833,Skilled Employee/Official,Big city,1
164,Male,Single,36,High School,124445,Skilled Employee/Official,Big city,1
165,Male,Single,32,other/unknown,141116,Skilled Employee/Official,Mid-sized city,1
166,Female,Married,33,High School,104276,Skilled Employee/Official,Big city,0
167,Female,Married,20,High School,147687,Skilled Employee/Official,Big city,0
168,Female,Married,25,High School,125168,Skilled Employee/Official,Mid-sized city,0
169,Male,Married,31,High School,115369,Skilled Employee/Official,Big city,0
170,Male,Single,33,High School,95445,Skilled Employee/Official,Small City,1
171,Female,Married,26,High School,95159,Skilled Employee/Official,Mid-sized city,0
172,Female,Married,34,High School,153031,management / self-employed / highly qualified employee / officer,Big city,0
173,Male,Single,33,High School,108899,Skilled Employee/Official,Small City,1
174,Male,Single,26,other/unknown,113515,Skilled Employee/Official,Mid-sized city,1
176,Male,Married,42,University,121307,Skilled Employee/Official,Small City,2
177,Male,Single,52,High School,131727,Skilled Employee/Official,Big city,1
178,Male,Single,31,other/unknown,133574,management / self-employed / highly qualified employee / officer,Mid-sized city,1
180,Male,Married,28,High School,177291,Skilled Employee/Official,Big city,0
181,Male,Married,30,High School,168763,management / self-employed / highly qualified employee / officer,Mid-sized city,0
182,Male,Single,40,High School,77720,Unemployed/Unskilled,Small City,3
183,Male,Single,50,High School,176645,Skilled Employee/Official,Big city,1
184,Male,Single,36,High School,106205,Skilled Employee/Official,Mid-sized city,1
185,Male,Single,31,other/unknown,97785,Skilled Employee/Official,Mid-sized city,1
188,Male,Married,20,High School,98988,Skilled Employee/Official,Small City,0
189,Female,Married,33,High School,133561,Skilled Employee/Official,Mid-sized city,0
191,Male,Single,34,High School,116525,Unemployed/Unskilled,Small City,3
192,Male,Single,36,High School,135302,Skilled Employee/Official,Big city,1
193,Male,Married,29,High School,106434,Skilled Employee/Official,Mid-sized city,0
194,Male,Single,21,other/unknown,128350,Skilled Employee/Official,Big city,1
195,Female,Married,34,High School,147626,management / self-employed / highly qualified employee / officer,Big city,0
196,Female,Married,28,High School,102697,Skilled Employee/Official,Small City,0
197,Female,Married,27,High School,120262,Skilled Employee/Official,Small City,0
198,Male,Single,36,High School,124214,Skilled Employee/Official,Big city,1
199,Male,Married,40,High School,175223,management / self-employed / highly qualified employee / officer,Mid-sized city,1
200,Male,Single,52,High School,137467,Skilled Employee/Official,Small City,1
201,Male,Married,27,High School,65815,Unemployed/Unskilled,Small City,3
202,Male,Single,26,other/unknown,129864,Skilled Employee/Official,Mid-sized city,1
203,Male,Married,21,High School,88475,Skilled Employee/Official,Mid-sized city,0
204,Male,Single,38,High School,74666,Unemployed/Unskilled,Small City,3
206,Male,Single,43,High School,112878,Skilled Employee/Official,Small City,1
207,Male,Single,26,other/unknown,103411,Skilled Employee/Official,Big city,1
208,Male,Married,21,High School,112868,Unemployed/Unskilled,Small City,3
209,Male,Single,55,High School,157940,Skilled Employee/Official,Big city,1
210,Male,Single,33,High School,115835,Skilled Employee/Official,Big city,1
211,Female,Married,45,University,109807,Unemployed/Unskilled,Small City,2
212,Male,Single,50,High School,150699,Skilled Employee/Official,Mid-sized city,1
214,Male,Single,51,High School,132767,Skilled Employee/Official,Small City,1
215,Female,Married,39,University,86152,Unemployed/Unskilled,Small City,3
216,Male,Single,31,other/unknown,114528,Skilled Employee/Official,Big city,1
217,Male,Single,23,other/unknown,133912,Skilled Employee/Official,Mid-sized city,1
218,Male,Married,24,High School,81210,Unemployed/Unskilled,Small City,3
219,Female,Married,64,Graduate School,131242,Skilled Employee/Official,Small City,2
220,Male,Married,26,High School,68804,Unemployed/Unskilled,Small City,3
221,Female,Married,23,High School,96961,Skilled Employee/Official,Mid-sized city,0
222,Male,Single,30,other/unknown,90719,Skilled Employee/Official,Big city,1
223,Male,Single,32,other/unknown,114116,Skilled Employee/Official,Mid-sized city,1
224,Male,Single,30,other/unknown,128639,Skilled Employee/Official,Mid-sized city,1
225,Male,Single,27,other/unknown,106623,Skilled Employee/Official,Mid-sized city,1
228,Male,Single,22,other/unknown,91739,Skilled Employee/Official,Mid-sized city,1
229,Male,Single,22,other/unknown,107780,Skilled Employee/Official,Big city,1
230,Male,Single,26,other/unknown,139157,Skilled Employee/Official,Big city,1
231,Male,Single,51,High School,121751,Unemployed/Unskilled,Small City,3
232,Male,Single,35,High School,121974,Skilled Employee/Official,Small City,1
233,Male,Married,25,High School,70320,Unemployed/Unskilled,Small City,3
234,Male,Single,42,High School,78327,Unemployed/Unskilled,Small City,3
235,Male,Single,30,other/unknown,131433,management / self-employed / highly qualified employee / officer,Small City,1
236,Male,Single,23,other/unknown,167076,Unemployed/Unskilled,Big city,1
237,Male,Married,61,University,130788,Unemployed/Unskilled,Small City,2
238,Female,Married,35,High School,107408,Skilled Employee/Official,Mid-sized city,0
239,Male,Single,39,High School,115323,Skilled Employee/Official,Mid-sized city,1
240,Female,Married,29,High School,99012,Skilled Employee/Official,Small City,0
241,Male,Single,51,High School,115996,Skilled Employee/Official,Mid-sized city,1
242,Male,Single,24,other/unknown,123353,Skilled Employee/Official,Mid-sized city,1
243,Female,Married,27,High School,100008,Skilled Employee/Official,Small City,0
244,Female,Married,35,High School,125105,Unemployed/Unskilled,Small City,3
245,Male,Single,25,other/unknown,92020,Skilled Employee/Official,Big city,1
246,Male,Single,52,High School,108365,Skilled Employee/Official,Big city,1
247,Male,Single,35,High School,112979,Skilled Employee/Official,Small City,1
248,Male,Single,26,other/unknown,117221,Skilled Employee/Official,Mid-sized city,1
249,Female,Married,22,High School,88800,Skilled Employee/Official,Big city,0
250,Female,Married,39,University,115099,Unemployed/Unskilled,Small City,2
251,Female,Married,46,University,113399,Unemployed/Unskilled,Small City,2
252,Female,Married,24,High School,115879,Skilled Employee/Official,Mid-sized city,0
253,Male,Single,35,High School,141270,Skilled Employee/Official,Big city,1
254,Male,Single,24,other/unknown,107633,Skilled Employee/Official,Mid-sized city,1
255,Male,Single,27,other/unknown,131751,Unemployed/Unskilled,Small City,3
256,Male,Single,35,High School,83687,Unemployed/Unskilled,Small City,3
257,Male,Married,29,High School,106828,Skilled Employee/Official,Big city,0
258,Female,Married,23,High School,135537,Skilled Employee/Official,Mid-sized city,0
259,Female,Married,57,University,107142,Unemployed/Unskilled,Small City,2
260,Male,Single,27,other/unknown,97446,Skilled Employee/Official,Mid-sized city,1
261,Female,Married,55,University,126357,Skilled Employee/Official,Big city,2
262,Male,Single,36,High School,169617,management / self-employed / highly qualified employee / officer,Mid-sized city,1
263,Female,Married,57,University,108945,Unemployed/Unskilled,Small City,2
264,Male,Single,32,other/unknown,67345,Unemployed/Unskilled,Small City,3
265,Male,Single,37,High School,106215,Skilled Employee/Official,Small City,1
266,Male,Single,36,High School,149237,Skilled Employee/Official,Small City,1
267,Female,Married,38,High School,112124,Skilled Employee/Official,Small City,0
269,Male,Single,25,other/unknown,89534,Skilled Employee/Official,Mid-sized city,1
270,Male,Single,32,other/unknown,111082,Skilled Employee/Official,Big city,1
271,Female,Married,37,High School,137069,Skilled Employee/Official,Mid-sized city,0
273,Male,Single,28,other/unknown,120712,Skilled Employee/Official,Mid-sized city,1
274,Male,Married,34,High School,175367,Unemployed/Unskilled,Small City,0
275,Male,Single,32,other/unknown,111418,Skilled Employee/Official,Mid-sized city,1
276,Female,Married,26,High School,110913,Skilled Employee/Official,Small City,0
277,Male,Married,49,University,84267,Unemployed/Unskilled,Small City,2
278,Female,Married,32,High School,136886,Skilled Employee/Official,Big city,0
279,Male,Single,29,other/unknown,144884,management / self-employed / highly qualified employee / officer,Big city,1
280,Male,Single,23,other/unknown,151180,Skilled Employee/Official,Mid-sized city,1
281,Male,Single,50,High School,114997,Skilled Employee/Official,Mid-sized city,1
282,Male,Single,49,High School,100961,Unemployed/Unskilled,Small City,3
283,Male,Single,63,University,124849,Skilled Employee/Official,Big city,2
284,Male,Married,37,High School,152308,Skilled Employee/Official,Big city,1
285,Female,Married,35,High School,167945,Unemployed/Unskilled,Mid-sized city,0
286,Male,Single,26,other/unknown,126706,Skilled Employee/Official,Big city,1
288,Female,Married,49,University,125665,Skilled Employee/Official,Mid-sized city,2
289,Male,Married,48,University,111184,Skilled Employee/Official,Mid-sized city,2
290,Male,Married,26,High School,94134,Skilled Employee/Official,Small City,0
292,Female,Married,44,University,193816,management / self-employed / highly qualified employee / officer,Mid-sized city,2
293,Male,Single,56,High School,168714,Skilled Employee/Official,Mid-sized city,1
295,Female,Married,26,High School,192451,Skilled Employee/Official,Big city,0
296,Female,Married,20,High School,127928,Skilled Employee/Official,Big city,0
297,Male,Single,45,High School,78253,Unemployed/Unskilled,Small City,3
298,Male,Single,43,High School,118446,Skilled Employee/Official,Mid-sized city,1
299,Male,Single,32,other/unknown,161379,Skilled Employee/Official,Big city,1
300,Female,Married,54,University,56622,Unemployed/Unskilled,Small City,2
301,Female,Married,42,University,146117,Skilled Employee/Official,Mid-sized city,2
302,Male,Single,37,High School,90418,Unemployed/Unskilled,Small City,3
303,Male,Single,49,High School,109053,Skilled Employee/Official,Small City,1
305,Male,Married,33,High School,144701,Skilled Employee/Official,Mid-sized city,0
306,Female,Married,24,High School,102425,Unemployed/Unskilled,Small City,3
307,Male,Married,33,High School,79867,Unemployed/Unskilled,Small City,3
308,Female,Married,24,High School,107114,Skilled Employee/Official,Big city,0
309,Male,Married,22,High School,62263,Unemployed/Unskilled,Small City,3
310,Male,Single,40,High School,92567,Unemployed/Unskilled,Small City,3
311,Male,Single,25,other/unknown,146349,Skilled Employee/Official,Small City,1
312,Female,Married,26,High School,141825,Skilled Employee/Official,Mid-sized city,0
313,Male,Married,25,High School,68582,Unemployed/Unskilled,Small City,3
314,Male,Single,29,other/unknown,85476,Unemployed/Unskilled,Small City,3
315,Male,Single,31,other/unknown,111091,Skilled Employee/Official,Big city,1
316,Male,Single,38,High School,67110,Unemployed/Unskilled,Small City,3
317,Female,Married,48,University,126154,Unemployed/Unskilled,Small City,2
318,Male,Single,32,other/unknown,92257,Skilled Employee/Official,Big city,1
319,Female,Married,27,High School,93605,Unemployed/Unskilled,Small City,3
320,Male,Married,28,High School,165190,management / self-employed / highly qualified employee / officer,Small City,0
321,Male,Married,32,High School,107195,Skilled Employee/Official,Small City,0
322,Male,Single,34,High School,145059,management / self-employed / highly qualified employee / officer,Small City,1
323,Male,Single,28,other/unknown,148363,Skilled Employee/Official,Small City,1
324,Female,Married,36,High School,105681,Skilled Employee/Official,Big city,0
325,Male,Single,39,High School,93732,Unemployed/Unskilled,Small City,3
326,Male,Single,49,High School,154778,Skilled Employee/Official,Big city,1
327,Female,Married,34,High School,149356,Skilled Employee/Official,Big city,0
328,Male,Single,31,other/unknown,145670,Skilled Employee/Official,Mid-sized city,1
329,Male,Single,28,other/unknown,101589,Skilled Employee/Official,Big city,1
331,Female,Married,30,High School,122420,Skilled Employee/Official,Small City,0
333,Female,Married,24,High School,181003,Unemployed/Unskilled,Small City,0
334,Male,Single,23,other/unknown,117804,Skilled Employee/Official,Mid-sized city,1
335,Male,Married,44,University,160650,management / self-employed / highly qualified employee / officer,Mid-sized city,2
336,Female,Married,23,High School,84611,Unemployed/Unskilled,Small City,3
337,Female,Married,24,High School,98479,Skilled Employee/Official,Big city,0
338,Male,Single,28,other/unknown,122359,Skilled Employee/Official,Big city,1
339,Male,Married,31,High School,81394,Unemployed/Unskilled,Small City,3
340,Female,Married,24,High School,150372,Skilled Employee/Official,Mid-sized city,0
341,Female,Married,26,High School,92385,Unemployed/Unskilled,Small City,3
342,Male,Married,25,High School,149851,Skilled Employee/Official,Big city,0
343,Male,Single,33,High School,167939,management / self-employed / highly qualified employee / officer,Mid-sized city,1
344,Male,Single,37,High School,115426,Unemployed/Unskilled,Small City,3
345,Female,Married,43,University,85402,Unemployed/Unskilled,Small City,2
346,Male,Single,23,other/unknown,95815,Skilled Employee/Official,Big city,1
347,Female,Married,23,High School,97518,Unemployed/Unskilled,Small City,3
348,Male,Single,34,High School,87355,Unemployed/Unskilled,Small City,3
349,Male,Single,32,other/unknown,145933,Skilled Employee/Official,Mid-sized city,1
350,Female,Married,23,High School,97307,Skilled Employee/Official,Small City,0
351,Female,Married,29,High School,108434,Skilled Employee/Official,Big city,0
352,Male,Single,38,High School,151312,management / self-employed / highly qualified employee / officer,Mid-sized city,1
353,Male,Single,28,other/unknown,141847,Skilled Employee/Official,Mid-sized city,1
354,Male,Single,46,High School,130675,Skilled Employee/Official,Big city,1
355,Male,Single,23,other/unknown,69309,Unemployed/Unskilled,Small City,3
356,Male,Single,49,High School,121466,Skilled Employee/Official,Big city,1
357,Male,Single,26,other/unknown,153586,management / self-employed / highly qualified employee / officer,Big city,1
358,Male,Married,28,High School,92849,Skilled Employee/Official,Small City,0
359,Female,Married,23,High School,108539,Skilled Employee/Official,Big city,0
360,Male,Single,61,University,129556,Skilled Employee/Official,Big city,2
361,Male,Single,37,High School,170146,management / self-employed / highly qualified employee / officer,Small City,1
362,Female,Married,36,High School,135383,Skilled Employee/Official,Mid-sized city,0
363,Male,Married,21,High School,96769,Skilled Employee/Official,Big city,0
364,Male,Single,25,other/unknown,43684,Unemployed/Unskilled,Small City,3
365,Male,Single,36,High School,103521,Skilled Employee/Official,Small City,1
366,Male,Single,27,other/unknown,118499,Skilled Employee/Official,Mid-sized city,1
367,Female,Married,22,High School,119684,Skilled Employee/Official,Big city,0
368,Male,Single,42,High School,126586,Skilled Employee/Official,Mid-sized city,1
369,Female,Married,40,University,136812,Skilled Employee/Official,Big city,2
370,Male,Single,36,High School,118277,Skilled Employee/Official,Mid-sized city,1
371,Male,Single,33,High School,144597,Skilled Employee/Official,Mid-sized city,1
372,Female,Married,23,High School,106043,Skilled Employee/Official,Small City,0
375,Female,Married,37,High School,170386,Skilled Employee/Official,Mid-sized city,0
376,Male,Married,34,High School,112458,Skilled Employee/Official,Small City,0
377,Male,Single,36,High School,96840,Skilled Employee/Official,Mid-sized city,1
379,Female,Married,52,University,95551,Unemployed/Unskilled,Small City,2
380,Male,Single,39,High School,112347,Skilled Employee/Official,Big city,1
382,Female,Married,25,High School,99354,Skilled Employee/Official,Small City,0
383,Male,Single,26,other/unknown,111509,Skilled Employee/Official,Big city,1
384,Male,Single,26,other/unknown,105252,Unemployed/Unskilled,Small City,3
385,Female,Married,25,High School,108522,Skilled Employee/Official,Small City,0
386,Female,Married,21,High School,94655,Skilled Employee/Official,Mid-sized city,0
388,Male,Single,27,other/unknown,139868,Skilled Employee/Official,Big city,1
389,Female,Married,27,High School,102543,Skilled Employee/Official,Mid-sized city,0
390,Male,Married,30,High School,134467,management / self-employed / highly qualified employee / officer,Big city,0
391,Female,Married,19,High School,111187,Unemployed/Unskilled,Small City,3
392,Male,Single,39,High School,152302,management / self-employed / highly qualified employee / officer,Mid-sized city,1
393,Female,Married,31,High School,110610,Skilled Employee/Official,Big city,0
394,Male,Single,31,other/unknown,137827,management / self-employed / highly qualified employee / officer,Big city,1
396,Female,Married,55,University,165717,management / self-employed / highly qualified employee / officer,Big city,2
397,Male,Married,46,University,122299,Skilled Employee/Official,Small City,2
398,Male,Married,46,University,120499,Skilled Employee/Official,Small City,2
399,Female,Married,43,University,126449,Unemployed/Unskilled,Small City,2
400,Male,Married,39,High School,108315,Skilled Employee/Official,Big city,0
401,Male,Married,28,High School,112515,Skilled Employee/Official,Mid-sized city,0
402,Male,Single,27,other/unknown,164559,Skilled Employee/Official,Mid-sized city,1
403,Male,Single,27,other/unknown,59238,Unemployed/Unskilled,Small City,3
404,Male,Single,43,High School,131133,Skilled Employee/Official,Small City,1
405,Male,Married,22,High School,109188,Skilled Employee/Official,Small City,0
406,Male,Single,43,High School,115393,Skilled Employee/Official,Mid-sized city,1
407,Male,Married,27,High School,94711,Skilled Employee/Official,Big city,0
408,Male,Married,26,High School,171860,management / self-employed / highly qualified employee / officer,Small City,0
409,Male,Married,28,High School,139414,Skilled Employee/Official,Big city,0
410,Female,Married,20,High School,110931,Skilled Employee/Official,Mid-sized city,0
411,Male,Single,35,High School,187549,management / self-employed / highly qualified employee / officer,Big city,1
412,Male,Single,42,High School,145508,management / self-employed / highly qualified employee / officer,Small City,1
413,Male,Single,40,High School,104240,Unemployed/Unskilled,Small City,3
414,Female,Married,35,High School,108272,Skilled Employee/Official,Mid-sized city,0
415,Male,Single,35,High School,144004,Skilled Employee/Official,Big city,1
416,Male,Single,33,High School,81083,Unemployed/Unskilled,Small City,3
417,Female,Married,23,High School,166763,Skilled Employee/Official,Mid-sized city,0
418,Female,Married,31,High School,175530,management / self-employed / highly qualified employee / officer,Mid-sized city,0
419,Female,Married,33,High School,112422,Skilled Employee/Official,Mid-sized city,0
420,Female,Married,20,High School,154134,Skilled Employee/Official,Big city,0
421,Male,Single,30,other/unknown,112401,Skilled Employee/Official,Mid-sized city,1
422,Male,Single,47,High School,85690,Unemployed/Unskilled,Small City,3
